Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 01: train_loss = 1.0194, val_acc = 0.6990, time = 8.32s
Epoch 02: train_loss = 0.8389, val_acc = 0.7417, time = 8.46s
Epoch 03: train_loss = 0.7764, val_acc = 0.6774, time = 8.32s
Epoch 04: train_loss = 0.7416, val_acc = 0.7751, time = 8.33s
Epoch 05: train_loss = 0.7167, val_acc = 0.7506, time = 8.35s
Epoch 06: train_loss = 0.6870, val_acc = 0.7704, time = 8.34s
Epoch 07: train_loss = 0.6745, val_acc = 0.7657, time = 8.27s
Epoch 08: train_loss = 0.6549, val_acc = 0.7814, time = 8.40s
Epoch 09: train_loss = 0.6359, val_acc = 0.7865, time = 8.37s
Epoch 10: train_loss = 0.6198, val_acc = 0.7734, time = 8.30s
Epoch 11: train_loss = 0.6044, val_acc = 0.7848, time = 8.50s
Epoch 12: train_loss = 0.5909, val_acc = 0.7951, time = 8.37s
Epoch 13: train_loss = 0.5756, val_acc = 0.7969, time = 8.35s
Epoch 14: train_loss = 0.5664, val_acc = 0.7890, time = 8.39s
Epoch 15: train_loss = 0.5468, val_acc = 0.7911, time = 8.31s
Epoch 16: train_loss = 0.5298, val_acc = 0.8123, time = 8.37s
Epoch 17: train_loss = 0.5304, val_acc = 0.7914, time = 8.33s
Epoch 18: train_loss = 0.5166, val_acc = 0.8061, time = 8.29s
Epoch 19: train_loss = 0.5091, val_acc = 0.8001, time = 8.31s
Epoch 20: train_loss = 0.5010, val_acc = 0.8062, time = 8.31s
Epoch 21: train_loss = 0.4942, val_acc = 0.8070, time = 8.40s
Epoch 22: train_loss = 0.4811, val_acc = 0.8094, time = 8.56s
Epoch 23: train_loss = 0.4758, val_acc = 0.8088, time = 8.45s
Epoch 24: train_loss = 0.4749, val_acc = 0.8057, time = 8.35s
Epoch 25: train_loss = 0.4700, val_acc = 0.8076, time = 8.31s
Epoch 26: train_loss = 0.4624, val_acc = 0.8080, time = 8.31s
Epoch 27: train_loss = 0.4560, val_acc = 0.8145, time = 8.34s
Epoch 28: train_loss = 0.4567, val_acc = 0.8076, time = 8.38s
Epoch 29: train_loss = 0.4608, val_acc = 0.8063, time = 8.29s
Epoch 30: train_loss = 0.4572, val_acc = 0.8126, time = 8.33s
Saved B seed 2 model to models_cifar10/scheme_B/seed_2. Final val_acc=0.8111, best=0.8145
Loading data for Scheme B (cifar10)...
Loading matching Scheme A initialization from models_cifar10/scheme_A/seed_3/weights.safetensors...
Starting training for 30 epochs.
Epoch 01: train_loss = 0.8971, val_acc = 0.7467, time = 8.33s
Epoch 02: train_loss = 0.6923, val_acc = 0.7829, time = 8.48s
Epoch 03: train_loss = 0.6381, val_acc = 0.7884, time = 8.91s
Epoch 04: train_loss = 0.5974, val_acc = 0.7559, time = 8.50s
Epoch 05: train_loss = 0.5694, val_acc = 0.7968, time = 8.54s
Epoch 06: train_loss = 0.5398, val_acc = 0.8031, time = 8.32s
Epoch 07: train_loss = 0.5274, val_acc = 0.7922, time = 11.00s
Epoch 08: train_loss = 0.4997, val_acc = 0.8006, time = 9.04s
Epoch 09: train_loss = 0.4872, val_acc = 0.8081, time = 8.44s
Epoch 10: train_loss = 0.4700, val_acc = 0.7885, time = 8.66s
Epoch 11: train_loss = 0.4580, val_acc = 0.7834, time = 8.70s
Epoch 12: train_loss = 0.4416, val_acc = 0.8114, time = 8.54s
Epoch 13: train_loss = 0.4287, val_acc = 0.8114, time = 8.39s
Epoch 14: train_loss = 0.4129, val_acc = 0.8038, time = 8.95s
Epoch 15: train_loss = 0.4019, val_acc = 0.8100, time = 8.65s
Epoch 16: train_loss = 0.3870, val_acc = 0.8115, time = 8.78s
Epoch 17: train_loss = 0.3793, val_acc = 0.8090, time = 8.69s
Epoch 18: train_loss = 0.3670, val_acc = 0.8186, time = 8.56s
Epoch 19: train_loss = 0.3607, val_acc = 0.8135, time = 8.72s
